video_id,title,published,viewCount,likeCount,dislikeCount
pWZ71GPLsmc,응답하라! 그때의 그 감성!! 한국 가요 20곡 | 8090 한국 가요 20곡 | 그루브 미쳤네! | 80s–90s Korean pop music,2025-06-19,327,1,0
rFk7cbR3RsE,우리가 사랑했던 그 음악! 한국 가요 20곡 | 8090 한국 가요 | 그루브 미쳤네! | 80s–90s Korean pop music,2025-06-19,398,0,0
iU1gEQbPq0g,"8090가요, 카세트 테잎의 감성, 추억의 멜로디 | 가요TOP20 | 다시 듣는 8090 한국 가요 | 80s–90s Korean pop music",2025-06-19,319,5,0
tJ6DgZvIMqc,"테이프가 늘어져라~ 듣던, 그 노래! 한국 가요 20곡 | 8090 한국 가요 | 80s–90s Korean pop music",2025-06-19,544,1,0
8QVe__XFvVo,브라운관 TV의 추억 속 그 노래들~! 지금 들어 보세요! 2025 한국 가요 20곡 | 8090 한국 가요 20곡 | 80s–90s Korean pop music,2025-06-19,427,0,0
izDDYSGmxRk,"못 들으면 후회해요. 카세트 테잎 앨범에 담긴 이야기, 한국 가요 20곡 | 8090 한국 가요 | 80s–90s Korean pop music",2025-06-19,420,1,0
WuwRfym54Hg,요즘 노래가 별로라면~! 2025 최신 레트로 한국 가요 20곡 | 8090 한국 가요 20곡 | 80s–90s Korean pop music,2025-06-18,446,1,0
g6HWrq8TNdE,요즘 노래보다 진한 감성~! 2025 최신 레트로 한국 가요 20곡 | 8090 한국 가요 20곡 | 80s–90s Korean pop music,2025-06-18,289,0,0
9h4wf4OKMzQ,예전 감성 그대~! 2025 최신 레트로 한국 가요 20곡 | 8090 한국 가요 20곡 | 80s–90s Korean pop music,2025-06-18,288,0,0
YW7rodH1bqs,진한~ 감성! 지금도 여전해~! 2025 최신 레트로 한국 가요 20곡 | 8090 한국 가요 20곡 | 80s–90s Korean pop music,2025-06-18,261,0,0
mcF1RUQkn_Y,"TV 앞을 점거했던, 그 음악~! 2025 최신 레트로 한국 가요 20곡 | 8090 한국 가요 20곡 | 80s–90s Korean pop music",2025-06-18,480,0,0
lGhU_ycSx1M,감미로운 재즈음악의 향연 | 카페음악 | jazz |,2025-06-18,56,3,0
OVLxULeBSis,TV 앞을 무단점거 했던 그 음악! 80·90년대 한국 가요 [두번째]｜가요TOP20｜한국 시티팝｜Korean City Pop Vibes,2025-06-17,332,8,0
isSE2Wmv5FQ,믿고 들어 보세요~! 2025 최신 레트로 한국 가요 20곡 | 8090 한국 가요 20곡 | 80s–90s Korean pop music,2025-06-17,651,0,0
7ooaDy8i1pA,"☀️낭만 가득한 재즈 음악, 올 여름은 이 음악 하나로  끝 🎧카페에서 듣기 좋은 음악",2025-06-17,366,0,0
dvfXNGVZmjE,"요즘 노래 못지 않은, 레트로 한국 가요 20곡 | 8090 한국 가요 20곡 | 그루브 미쳤네! | 80s–90s Korean pop music",2025-06-17,300,1,0
_ExEMnshIqE,"8090 한국 가요 20곡, 그루브 미쳤네! | 80s–90s Korean pop music",2025-06-17,272,0,0
lTT8xzrrSag,"☀️올 여름은 이 음악, 그냥 틀어 놓으세요 🎧카페에서 듣기 좋은 음악",2025-06-17,440,2,0
Ho6OhRgNxt8,"그 시절 감성, 미쳤다 진짜.  8090 한국 가요 | 80s–90s Korean pop music",2025-06-16,419,1,0
NLaub72z4OA,"가요TOP20｜그 시절 우리가 사랑한 감성 모음, 8090 한국 가요 [첫번째] | 80s–90s Korean pop music",2025-06-16,456,2,0
uTL9LLIJI7M,"그 시절 우리가 사랑한 감성 모음, 8090 한국 가요 [첫번째]｜가요TOP20 | 80s–90s Korean pop music",2025-06-16,1386,18,0
YYH0EACvXyU,"8090 한국 가요 20곡, 아직도 쥑이네 | 80s–90s Korean pop music",2025-06-16,516,2,0
X-Mzr0HXLaE,올여름에만 들을 수 있는 재즈 카페 음악과 함께~ ~ 🎧카페에서 듣기 좋은 음악 #21 | 🎶일하면서 듣기 좋은 카페음악 | Summer Season Special: Jazz,2025-06-16,310,7,0
BjU5UcVQcMQ,호숫가 나무 그늘 아래에서 힐링 카페 음악을~! #20 ☕Healing Cafe Music | Soft & Cozy Background for Relaxation,2025-06-15,181,2,0
jqf0dbOwrQ0,"🎹불면증 해결 음악, 명상, 공부, 독서, 휴식에 좋은 피아노곡 모음 Vol.44 | Piano Collection for Sleep",2025-06-15,73,4,0
BwsuAwx6FhI,"🌿 자연 속 감성 재즈 카페 음악 | Healing Jazz Cafe, Soft & Cozy Background for Relaxation",2025-06-14,236,0,0
YN-CCaw03eE,힐링 카페 음악 When You Need a Moment of Emotional Recharge  #cafemusic #cozysongs,2025-06-14,79,0,0
LWog3T1--74,"[playlist] 힐링 카페 음악 | Healing Jazz Cafe, Soft & Cozy Background for Relaxation",2025-06-13,400,2,0
QyrgcusRlBg,"🌿재즈 감성, 힐링 카페 음악  | Healing Jazz Cafe, Soft & Cozy Background for Relaxation  #relaxingmusic",2025-06-13,270,0,0
lQkaT_IyE6U,"힐링 재즈 카페 음악, 자연 속 감성 | Healing Jazz Cafe, Soft & Cozy Background for Relaxation",2025-06-13,484,0,0
K3JXQMGFr5I,🌿 힐링 카페 음악 모음 #19 | Healing Cafe Music | Soft & Cozy Background for Relaxation ☕ #coffeemusic,2025-06-13,73,2,0
Wj-Yx7r8Ynw,"🌿힐링 카페 음악, 그냥 틀어 놓으세요 🎧카페에서 듣기 좋은 음악 #18 | 🎶일하면서 듣기 좋은 카페음악🌿 자연 속 감성 재즈 카페 음악 | Healing Jazz Cafe",2025-06-12,136,1,0
odRJmA4HpYE,풀버전은 채널에서 기다리고 있어요. 🎧💫The full version is waiting for you on our channel. 🎵📺,2025-06-12,154,0,0
UTlB7bGV0ts,마음이 머무는 작은 카페 | Healing Cafe Music,2025-06-12,372,1,0
uhBW-BwDQMs,"세나 뮤직, 오늘도 당신 곁에 머뭅니다 | Sena Music stays with you, today and always.",2025-06-11,242,0,0
VkdvYZbuuYY,"🌊힐링 카페 음악이 흐르는 곳,  마음이 쉬어가는 공간☕ #17 | Relaxing Café Music by the Seaside #coffeemusic",2025-06-11,44,2,0
KYwe-90HBn8,"☕ 감성 영상과 따뜻한 음악이 만나는 곳, 세나 뮤직 / Where touching visuals meet warm melodies — Sena Music",2025-06-11,174,2,0
xoN4GqUZY6I,"커피 한잔의 여유, 세나 뮤직과 함께 ☕🎶A Moment of Coffee, with Sena Music – Calm & Cozy Café Vibes",2025-06-11,213,0,0
3v5fyITobtw,Feel the Melting Rock’n’Roll! | 마음을 녹이는 록앤롤 Vol.42 shorts 02,2025-06-10,101,0,0
7UnI4jMjrls,락앤롤의 열정과 부드러움을 함께 느껴 보세요 | Feel the passion and tenderness of Rock'n'Roll 🎸 #05 #rocknroll,2025-06-10,118,2,0
i_NRWh276K0,☕ 힐링 카페 영상과 함께 즐기는 세나 뮤직의 감성 음악🎵 Healing cafe music with Sena’s soothing visuals,2025-06-10,247,0,0
5gbqkcIfjMI,Rock’n’Roll That Melts Your Heart | 마음을 녹이는 록앤롤 Vol.42,2025-06-10,106,0,0
SVKhHrCYlzY,"🌿 힐링 카페 음악,☕모닝커피와 함께 #16 | Healing Cafe Music for a Peaceful Morning #coffeemusic",2025-06-10,44,1,0
tiVCR8SmB-U,🎧 힐링 카페 음악 | When You Need a Moment of Emotional Recharge  #02 #senamusicstudio #cafemusic,2025-06-09,20,1,0
bMixQfuER2o,🎧 When You Need a Moment of Emotional Recharge  힐링 카페 음악 #02 #cafemusic #cozysongs,2025-06-09,51,0,0
0jPmhOsQE0g,🎧 When You Need a Moment of Emotional Recharge 힐링 카페 음악 #senamusicstudio #cafemusic,2025-06-08,198,0,0
Vah0ZFsXJo8,"🌿힐링 카페 음악, 그냥 틀어 놓으세요 🎧카페에서 듣기 좋은 음악 #15 | 🎶일하면서 듣기 좋은 카페음악 Vol.40 #coffeemusic",2025-06-08,416,3,0
NUelhvUxXvY,Vol.36 🎷 Romantic Jazz Moments #senamusicstudio 힐링 카페 음악 #jazz #jazzbarvibes #cozymusic,2025-06-08,46,0,0
0YpIqCCgVVA,Vol.45 Relax with Healing Cafe Music #☕02 힐링 카페 음악으로 여유로운 시간 #cozymusic  #jazz #cafemusic,2025-06-07,502,3,0
wuLz_tc4mQc,Vol.45 Relax with Healing Cafe Music #01 ☕ 힐링 카페 음악으로 여유로운 시간 #cozymusic  #jazz #cafemusic,2025-06-06,396,3,0
_TW1Ud1fwxw,☕ 최고의 힐링 카페 음악 #14🎷Healing Cafe Music | Soft & Cozy Background for Relaxation  #coffeemusic,2025-06-06,158,0,0
